uuid,source,orig_id,lat,lon,hour,heading,place,sidewalk_pct
f0da59d9-d350-46b4-84dd-be49ea038054,Mapillary,460284825075150,1.2999444398833615,103.80061984062196,14,116.57281625076,parking_lot,0.011302163833075734
9822b26c-103d-4afd-a142-6f72a435438e,Mapillary,135856821905700,1.2999283507711112,103.80061447620392,14,287.47057714823,residential_neighborhood,0.0008963522148494865
57b8b0c4-0a68-4fa5-bd0f-7bcc2d48febf,Mapillary,244923377413483,1.3007757105429647,103.80068957805634,15,325.44681903952,campus,0.0992370762601622
ce11e9cb-2dfe-40a3-9e13-f4e32e3fbe91,Mapillary,743064673034025,1.300791799649815,103.80071640014648,15,319.79829885246,campus,0.06939465441688462
17d50c04-4584-4424-933c-d56b52db6f40,Mapillary,1203275976776462,1.2992901492361997,103.80230963230132,14,41.682845368493,pavilion,0.07686757035457557
cabdd3be-7e50-444f-abc2-ad0e5bc621fb,Mapillary,312223923679841,1.2994027730482005,103.80052864551544,14,278.58647358063,pavilion,0.013983758255071236
b4a10497-d00f-4207-a29e-7c0578a4fdfc,Mapillary,265390965363550,1.3013066510144995,103.79984736442566,15,39.69139504164,hospital,0.04960441443257408
75983f6e-ac95-42ea-b989-db2c7668a699,Mapillary,1456915224690995,1.2966247175543373,103.79996001720428,14,202.1044082190736,park,0.00904207513156596
dd1baffd-c522-46e6-b669-0323a02945ac,Mapillary,1434438393615103,1.3040900643839848,103.80150496959686,12,270.752512787,field_road,0.008893819040102816
595b2d35-871a-4b0d-9895-149b5daf72d1,Mapillary,133875878778378,1.2993705948167218,103.8030070066452,14,308.69022270836,lawn,0.039460605822032396
46c12d54-5440-4e03-8a30-8c58f58b8d2e,Mapillary,998565077553279,1.2999444398833615,103.80061984062196,14,134.99261997748,parking_lot,0.01357897791264404
4801a5d5-a895-4dc5-a8a0-bb78d3e22728,Mapillary,1072396856587903,1.2977402305517671,103.80014777183531,14,287.1011721496,office_building,0.03977165976481368
4facd764-58c6-4220-bc6c-d45ba3a0d3f7,Mapillary,220297932866158,1.2999980702567484,103.80065202713013,14,303.65559070344,picnic_area,0.008865000184073924
91ae3c5a-96eb-44b7-8261-3473a920ee84,Mapillary,466788777726985,1.2998425421707651,103.8016551733017,14,42.739729063009,playground,0.12086458637210935
1b5058c2-c5e6-4b8b-b24b-f5c233cd9bd0,Mapillary,472388890661404,1.2978743066000789,103.80019068717957,14,285.56372932044,hospital,0.03577142602004748
9122e8b8-0302-4fa8-b72a-c95f483f22a8,Mapillary,1174890673026433,1.2991024428717282,103.80250811576845,14,44.75305039653,ticket_booth,0.1309496890196478
199926bb-39c4-4c3e-b1bb-a14600ddb766,Mapillary,1212238402540552,1.3007596214360149,103.80065739154816,15,338.14059819092,residential_neighborhood,0.04534271259269527
ab80b6b3-cc6d-4a34-a95a-87f00270fb7f,Mapillary,177241874310938,1.3007596214360149,103.80057692527772,15,5.9505638134833,lawn,0.02243637382585495
52fb6f67-22c5-4534-8e44-095df7e83b29,Mapillary,462150171549971,1.3021754624541018,103.8011509180069,15,280.94098358554,campus,0.028418120058797822
cd92b845-89a3-430c-a42c-5e75631499b6,Mapillary,912851892781502,1.29760615449635,103.80009949207306,14,288.95263375572,playground,0.032721723043100615
543b2645-b62d-4f4f-85d8-58074446299f,Mapillary,816914669254443,1.2968606914986651,103.79977762699129,14,295.43763040382,campus,0.0029869201203706463
3cf7b8ec-cd40-4e92-92fb-11273e4afe47,Mapillary,297109051916063,1.2973540914929345,103.80000293254852,14,292.06457400104,industrial_area,0.037122118412071664
80ba8925-ad0b-4c95-b51c-ba622e0d673c,Mapillary,304678004607800,1.3017678719394752,103.80107045173644,15,280.14441765015,playground,0.04212259509599838
c5b735a9-76e8-416d-9f88-2b52cc0e48a0,Mapillary,521350535670207,1.304256318264379,103.80151033401488,12,271.69386180933,field_road,0.009804255733554073
eeb7ca33-28cb-493e-a095-62bde50043e0,Mapillary,474108430476741,1.2980030195997614,103.80022287368774,14,283.97161423397,campus,0.03150435251028786
bf2ea589-5dfb-46b9-a913-77b6367d65c1,Mapillary,1002910853907043,1.2964584631712768,103.7998902797699,14,203.0015371839884,construction_site,0.00748958988413651
73e329d7-50c1-428b-8a3b-a0bb3f665a9b,Mapillary,475265553678127,1.299939076845945,103.80061447620392,14,134.99262891403,parking_lot,0.009804379174722341
e05db5b6-9424-4e71-b4bb-96c39fafd30b,Mapillary,227085016096553,1.2967963349705656,103.80002439022064,14,197.70127211389536,office_building,0.0027381197898223917
c264b9ba-e955-4ef6-b64f-0199317577b1,Mapillary,313661546834364,1.3008078887565375,103.800448179245,15,25.724140792572,campus,0.025170091487296715
